otu	Order	Family	Genus	Species
Arborophila sumatrana	Galliformes	Phasianidae	Arborophila	Arborophila sumatrana
Arborophila torqueola	Galliformes	Phasianidae	Arborophila	Arborophila torqueola
Arcanator orostruthus	Passeriformes	Modulatricidae	Arcanator	Arcanator orostruthus
Archboldia papuensis	Passeriformes	Ptilonorhynchidae	Archboldia	Archboldia papuensis
Archilochus alexandri	Caprimulgiformes	Trochilidae	Archilochus	Archilochus alexandri
Archilochus colubris	Caprimulgiformes	Trochilidae	Archilochus	Archilochus colubris
Ardea alba	Pelecaniformes	Ardeidae	Ardea	Ardea alba
Ardea brachyrhyncha	Pelecaniformes	Ardeidae	Ardea	Ardea brachyrhyncha
Ardea cinerea	Pelecaniformes	Ardeidae	Ardea	Ardea cinerea
Ardea cocoi	Pelecaniformes	Ardeidae	Ardea	Ardea cocoi
Ardea goliath	Pelecaniformes	Ardeidae	Ardea	Ardea goliath
Ardea herodias	Pelecaniformes	Ardeidae	Ardea	Ardea herodias
Ardea humbloti	Pelecaniformes	Ardeidae	Ardea	Ardea humbloti
Ardea insignis	Pelecaniformes	Ardeidae	Ardea	Ardea insignis
Ardea intermedia	Pelecaniformes	Ardeidae	Ardea	Ardea intermedia
Ardea melanocephala	Pelecaniformes	Ardeidae	Ardea	Ardea melanocephala
Ardea pacifica	Pelecaniformes	Ardeidae	Ardea	Ardea pacifica
Ardea plumifera	Pelecaniformes	Ardeidae	Ardea	Ardea plumifera
Ardea purpurea	Pelecaniformes	Ardeidae	Ardea	Ardea purpurea
Ardea sumatrana	Pelecaniformes	Ardeidae	Ardea	Ardea sumatrana
Ardenna bulleri	Procellariiformes	Procellariidae	Ardenna	Ardenna bulleri
Ardenna carneipes	Procellariiformes	Procellariidae	Ardenna	Ardenna carneipes
Ardenna creatopus	Procellariiformes	Procellariidae	Ardenna	Ardenna creatopus
Ardenna gravis	Procellariiformes	Procellariidae	Ardenna	Ardenna gravis
Ardenna grisea	Procellariiformes	Procellariidae	Ardenna	Ardenna grisea
Ardenna pacifica	Procellariiformes	Procellariidae	Ardenna	Ardenna pacifica
Ardenna tenuirostris	Procellariiformes	Procellariidae	Ardenna	Ardenna tenuirostris
Ardeola bacchus	Pelecaniformes	Ardeidae	Ardeola	Ardeola bacchus
Ardeola grayii	Pelecaniformes	Ardeidae	Ardeola	Ardeola grayii
Ardeola idae	Pelecaniformes	Ardeidae	Ardeola	Ardeola idae
Ardeola ralloides	Pelecaniformes	Ardeidae	Ardeola	Ardeola ralloides
Ardeola rufiventris	Pelecaniformes	Ardeidae	Ardeola	Ardeola rufiventris
Ardeola speciosa	Pelecaniformes	Ardeidae	Ardeola	Ardeola speciosa
Ardeotis arabs	Otidiformes	Otididae	Ardeotis	Ardeotis arabs
Ardeotis australis	Otidiformes	Otididae	Ardeotis	Ardeotis australis
Ardeotis kori	Otidiformes	Otididae	Ardeotis	Ardeotis kori
Arenaria interpres	Charadriiformes	Scolopacidae	Arenaria	Arenaria interpres
Arenaria melanocephala	Charadriiformes	Scolopacidae	Arenaria	Arenaria melanocephala
Argusianus argus	Galliformes	Phasianidae	Argusianus	Argusianus argus
Argya affinis	Passeriformes	Leiothrichidae	Argya	Argya affinis
Argya altirostris	Passeriformes	Leiothrichidae	Argya	Argya altirostris
Argya aylmeri	Passeriformes	Leiothrichidae	Argya	Argya aylmeri
Argya caudata	Passeriformes	Leiothrichidae	Argya	Argya caudata
Argya cinereifrons	Passeriformes	Leiothrichidae	Argya	Argya cinereifrons
Argya earlei	Passeriformes	Leiothrichidae	Argya	Argya earlei
Argya fulva	Passeriformes	Leiothrichidae	Argya	Argya fulva
Argya gularis	Passeriformes	Leiothrichidae	Argya	Argya gularis
Argya huttoni	Passeriformes	Leiothrichidae	Argya	Argya huttoni
Argya longirostris	Passeriformes	Leiothrichidae	Argya	Argya longirostris
Argya malcolmi	Passeriformes	Leiothrichidae	Argya	Argya malcolmi
Argya rubiginosa	Passeriformes	Leiothrichidae	Argya	Argya rubiginosa
Argya rufescens	Passeriformes	Leiothrichidae	Argya	Argya rufescens
Argya squamiceps	Passeriformes	Leiothrichidae	Argya	Argya squamiceps
Argya striata	Passeriformes	Leiothrichidae	Argya	Argya striata
Argya subrufa	Passeriformes	Leiothrichidae	Argya	Argya subrufa
Arizelocichla chlorigula	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla chlorigula
Arizelocichla fusciceps	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla fusciceps
Arizelocichla masukuensis	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla masukuensis
Arizelocichla milanjensis	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla milanjensis
Arizelocichla montana	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla montana
Arizelocichla neumanni	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla neumanni
Arizelocichla nigriceps	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla nigriceps
Arizelocichla tephrolaema	Passeriformes	Pycnonotidae	Arizelocichla	Arizelocichla tephrolaema
Arizelopsar femoralis	Passeriformes	Sturnidae	Arizelopsar	Arizelopsar femoralis
Arremon abeillei	Passeriformes	Passerellidae	Arremon	Arremon abeillei
Arremon assimilis	Passeriformes	Passerellidae	Arremon	Arremon assimilis
Arremon atricapillus	Passeriformes	Passerellidae	Arremon	Arremon atricapillus
Arremon aurantiirostris	Passeriformes	Passerellidae	Arremon	Arremon aurantiirostris
Arremon basilicus	Passeriformes	Passerellidae	Arremon	Arremon basilicus
Arremon brunneinucha	Passeriformes	Passerellidae	Arremon	Arremon brunneinucha
Arremon castaneiceps	Passeriformes	Passerellidae	Arremon	Arremon castaneiceps
Arremon costaricensis	Passeriformes	Passerellidae	Arremon	Arremon costaricensis
Arremon crassirostris	Passeriformes	Passerellidae	Arremon	Arremon crassirostris
Arremon dorbignii	Passeriformes	Passerellidae	Arremon	Arremon dorbignii
Arremon flavirostris	Passeriformes	Passerellidae	Arremon	Arremon flavirostris
Arremon franciscanus	Passeriformes	Passerellidae	Arremon	Arremon franciscanus
Arremon perijanus	Passeriformes	Passerellidae	Arremon	Arremon perijanus
Arremon phaeopleurus	Passeriformes	Passerellidae	Arremon	Arremon phaeopleurus
Arremon phygas	Passeriformes	Passerellidae	Arremon	Arremon phygas
Arremon schlegeli	Passeriformes	Passerellidae	Arremon	Arremon schlegeli
Arremon semitorquatus	Passeriformes	Passerellidae	Arremon	Arremon semitorquatus
Arremon taciturnus	Passeriformes	Passerellidae	Arremon	Arremon taciturnus
Arremon torquatus	Passeriformes	Passerellidae	Arremon	Arremon torquatus
Arremon virenticeps	Passeriformes	Passerellidae	Arremon	Arremon virenticeps
Arremonops chloronotus	Passeriformes	Passerellidae	Arremonops	Arremonops chloronotus
Arremonops conirostris	Passeriformes	Passerellidae	Arremonops	Arremonops conirostris
Arremonops rufivirgatus	Passeriformes	Passerellidae	Arremonops	Arremonops rufivirgatus
Arremonops tocuyensis	Passeriformes	Passerellidae	Arremonops	Arremonops tocuyensis
Arses insularis	Passeriformes	Monarchidae	Arses	Arses insularis
Arses kaupi	Passeriformes	Monarchidae	Arses	Arses kaupi
Arses lorealis	Passeriformes	Monarchidae	Arses	Arses lorealis
Arses telescopthalmus	Passeriformes	Monarchidae	Arses	Arses telescopthalmus
Artamella viridis	Passeriformes	Vangidae	Artamella	Artamella viridis
Artamus cinereus	Passeriformes	Artamidae	Artamus	Artamus cinereus
Artamus cyanopterus	Passeriformes	Artamidae	Artamus	Artamus cyanopterus
Artamus fuscus	Passeriformes	Artamidae	Artamus	Artamus fuscus
Artamus insignis	Passeriformes	Artamidae	Artamus	Artamus insignis
Artamus leucorynchus	Passeriformes	Artamidae	Artamus	Artamus leucorynchus
Artamus maximus	Passeriformes	Artamidae	Artamus	Artamus maximus
Artamus mentalis	Passeriformes	Artamidae	Artamus	Artamus mentalis
Artamus minor	Passeriformes	Artamidae	Artamus	Artamus minor
Artamus monachus	Passeriformes	Artamidae	Artamus	Artamus monachus
Artamus personatus	Passeriformes	Artamidae	Artamus	Artamus personatus
Artamus superciliosus	Passeriformes	Artamidae	Artamus	Artamus superciliosus
Artemisiospiza belli	Passeriformes	Passerellidae	Artemisiospiza	Artemisiospiza belli
Artemisiospiza nevadensis	Passeriformes	Passerellidae	Artemisiospiza	Artemisiospiza nevadensis
Artisornis metopias	Passeriformes	Cisticolidae	Artisornis	Artisornis metopias
Artisornis moreaui	Passeriformes	Cisticolidae	Artisornis	Artisornis moreaui
Arundinax aedon	Passeriformes	Acrocephalidae	Arundinax	Arundinax aedon
Arundinicola leucocephala	Passeriformes	Tyrannidae	Arundinicola	Arundinicola leucocephala
Asarcornis scutulata	Anseriformes	Anatidae	Asarcornis	Asarcornis scutulata
Asemospiza fuliginosa	Passeriformes	Thraupidae	Asemospiza	Asemospiza fuliginosa
Asemospiza obscura	Passeriformes	Thraupidae	Asemospiza	Asemospiza obscura
Ashbyia lovensis	Passeriformes	Meliphagidae	Ashbyia	Ashbyia lovensis
Asio abyssinicus	Strigiformes	Strigidae	Asio	Asio abyssinicus
Asio capensis	Strigiformes	Strigidae	Asio	Asio capensis
Asio clamator	Strigiformes	Strigidae	Asio	Asio clamator
Asio flammeus	Strigiformes	Strigidae	Asio	Asio flammeus
Asio grammicus	Strigiformes	Strigidae	Asio	Asio grammicus
Asio madagascariensis	Strigiformes	Strigidae	Asio	Asio madagascariensis
Asio otus	Strigiformes	Strigidae	Asio	Asio otus
Asio solomonensis	Strigiformes	Strigidae	Asio	Asio solomonensis
Asio stygius	Strigiformes	Strigidae	Asio	Asio stygius
Aspatha gularis	Coraciiformes	Momotidae	Aspatha	Aspatha gularis
Asthenes anthoides	Passeriformes	Furnariidae	Asthenes	Asthenes anthoides
Asthenes ayacuchensis	Passeriformes	Furnariidae	Asthenes	Asthenes ayacuchensis
Asthenes baeri	Passeriformes	Furnariidae	Asthenes	Asthenes baeri
Asthenes berlepschi	Passeriformes	Furnariidae	Asthenes	Asthenes berlepschi
Asthenes coryi	Passeriformes	Furnariidae	Asthenes	Asthenes coryi
Asthenes dorbignyi	Passeriformes	Furnariidae	Asthenes	Asthenes dorbignyi
Asthenes flammulata	Passeriformes	Furnariidae	Asthenes	Asthenes flammulata
Asthenes fuliginosa	Passeriformes	Furnariidae	Asthenes	Asthenes fuliginosa
Asthenes griseomurina	Passeriformes	Furnariidae	Asthenes	Asthenes griseomurina
Asthenes harterti	Passeriformes	Furnariidae	Asthenes	Asthenes harterti
Asthenes helleri	Passeriformes	Furnariidae	Asthenes	Asthenes helleri
Asthenes heterura	Passeriformes	Furnariidae	Asthenes	Asthenes heterura
Asthenes hudsoni	Passeriformes	Furnariidae	Asthenes	Asthenes hudsoni
Asthenes humilis	Passeriformes	Furnariidae	Asthenes	Asthenes humilis
Asthenes luizae	Passeriformes	Furnariidae	Asthenes	Asthenes luizae
Asthenes maculicauda	Passeriformes	Furnariidae	Asthenes	Asthenes maculicauda
Asthenes modesta	Passeriformes	Furnariidae	Asthenes	Asthenes modesta
Asthenes moreirae	Passeriformes	Furnariidae	Asthenes	Asthenes moreirae
Asthenes ottonis	Passeriformes	Furnariidae	Asthenes	Asthenes ottonis
Asthenes palpebralis	Passeriformes	Furnariidae	Asthenes	Asthenes palpebralis
Asthenes perijana	Passeriformes	Furnariidae	Asthenes	Asthenes perijana
Asthenes pudibunda	Passeriformes	Furnariidae	Asthenes	Asthenes pudibunda
Asthenes pyrrholeuca	Passeriformes	Furnariidae	Asthenes	Asthenes pyrrholeuca
Asthenes urubambensis	Passeriformes	Furnariidae	Asthenes	Asthenes urubambensis
Asthenes vilcabambae	Passeriformes	Furnariidae	Asthenes	Asthenes vilcabambae
Asthenes virgata	Passeriformes	Furnariidae	Asthenes	Asthenes virgata
Asthenes wyatti	Passeriformes	Furnariidae	Asthenes	Asthenes wyatti
Astrapia mayeri	Passeriformes	Paradisaeidae	Astrapia	Astrapia mayeri
Astrapia nigra	Passeriformes	Paradisaeidae	Astrapia	Astrapia nigra
Astrapia rothschildi	Passeriformes	Paradisaeidae	Astrapia	Astrapia rothschildi
Astrapia splendidissima	Passeriformes	Paradisaeidae	Astrapia	Astrapia splendidissima
Astrapia stephaniae	Passeriformes	Paradisaeidae	Astrapia	Astrapia stephaniae
Atalotriccus pilaris	Passeriformes	Tyrannidae	Atalotriccus	Atalotriccus pilaris
Atelornis crossleyi	Coraciiformes	Brachypteraciidae	Atelornis	Atelornis crossleyi
Atelornis pittoides	Coraciiformes	Brachypteraciidae	Atelornis	Atelornis pittoides
Athene blewitti	Strigiformes	Strigidae	Athene	Athene blewitti
Athene brama	Strigiformes	Strigidae	Athene	Athene brama
Athene cunicularia	Strigiformes	Strigidae	Athene	Athene cunicularia
Athene granti	Strigiformes	Strigidae	Athene	Athene granti
Athene jacquinoti	Strigiformes	Strigidae	Athene	Athene jacquinoti
Athene malaitae	Strigiformes	Strigidae	Athene	Athene malaitae
Athene noctua	Strigiformes	Strigidae	Athene	Athene noctua
Athene roseoaxillaris	Strigiformes	Strigidae	Athene	Athene roseoaxillaris
Athene superciliaris	Strigiformes	Strigidae	Athene	Athene superciliaris
Atimastillas flavicollis	Passeriformes	Pycnonotidae	Atimastillas	Atimastillas flavicollis
Atlantisia rogersi	Gruiformes	Rallidae	Atlantisia	Atlantisia rogersi
Atlapetes albiceps	Passeriformes	Passerellidae	Atlapetes	Atlapetes albiceps
Atlapetes albinucha	Passeriformes	Passerellidae	Atlapetes	Atlapetes albinucha
Atlapetes albofrenatus	Passeriformes	Passerellidae	Atlapetes	Atlapetes albofrenatus
Atlapetes blancae	Passeriformes	Passerellidae	Atlapetes	Atlapetes blancae
Atlapetes canigenis	Passeriformes	Passerellidae	Atlapetes	Atlapetes canigenis
Atlapetes citrinellus	Passeriformes	Passerellidae	Atlapetes	Atlapetes citrinellus
Atlapetes flaviceps	Passeriformes	Passerellidae	Atlapetes	Atlapetes flaviceps
Atlapetes forbesi	Passeriformes	Passerellidae	Atlapetes	Atlapetes forbesi
Atlapetes fulviceps	Passeriformes	Passerellidae	Atlapetes	Atlapetes fulviceps
Atlapetes fuscoolivaceus	Passeriformes	Passerellidae	Atlapetes	Atlapetes fuscoolivaceus
Atlapetes latinuchus	Passeriformes	Passerellidae	Atlapetes	Atlapetes latinuchus
Atlapetes leucopis	Passeriformes	Passerellidae	Atlapetes	Atlapetes leucopis
Atlapetes leucopterus	Passeriformes	Passerellidae	Atlapetes	Atlapetes leucopterus
Atlapetes luteoviridis	Passeriformes	Passerellidae	Atlapetes	Atlapetes luteoviridis
Atlapetes melanocephalus	Passeriformes	Passerellidae	Atlapetes	Atlapetes melanocephalus
Atlapetes melanolaemus	Passeriformes	Passerellidae	Atlapetes	Atlapetes melanolaemus
Atlapetes melanopsis	Passeriformes	Passerellidae	Atlapetes	Atlapetes melanopsis
Atlapetes nationi	Passeriformes	Passerellidae	Atlapetes	Atlapetes nationi
Atlapetes pallidiceps	Passeriformes	Passerellidae	Atlapetes	Atlapetes pallidiceps
Atlapetes pallidinucha	Passeriformes	Passerellidae	Atlapetes	Atlapetes pallidinucha
Atlapetes personatus	Passeriformes	Passerellidae	Atlapetes	Atlapetes personatus
Atlapetes pileatus	Passeriformes	Passerellidae	Atlapetes	Atlapetes pileatus
Atlapetes rufigenis	Passeriformes	Passerellidae	Atlapetes	Atlapetes rufigenis
Atlapetes rufinucha	Passeriformes	Passerellidae	Atlapetes	Atlapetes rufinucha
Atlapetes schistaceus	Passeriformes	Passerellidae	Atlapetes	Atlapetes schistaceus
Atlapetes seebohmi	Passeriformes	Passerellidae	Atlapetes	Atlapetes seebohmi
Atlapetes semirufus	Passeriformes	Passerellidae	Atlapetes	Atlapetes semirufus
Atlapetes terborghi	Passeriformes	Passerellidae	Atlapetes	Atlapetes terborghi
Atlapetes tibialis	Passeriformes	Passerellidae	Atlapetes	Atlapetes tibialis
Atlapetes tricolor	Passeriformes	Passerellidae	Atlapetes	Atlapetes tricolor
Atrichornis clamosus	Passeriformes	Atrichornithidae	Atrichornis	Atrichornis clamosus
Atrichornis rufescens	Passeriformes	Atrichornithidae	Atrichornis	Atrichornis rufescens
Atronanus fuliginosus	Passeriformes	Hirundinidae	Atronanus	Atronanus fuliginosus
Attagis gayi	Charadriiformes	Thinocoridae	Attagis	Attagis gayi
Attagis malouinus	Charadriiformes	Thinocoridae	Attagis	Attagis malouinus
Atticora fasciata	Passeriformes	Hirundinidae	Atticora	Atticora fasciata
Atticora pileata	Passeriformes	Hirundinidae	Atticora	Atticora pileata
Atticora tibialis	Passeriformes	Hirundinidae	Atticora	Atticora tibialis
Attila bolivianus	Passeriformes	Tyrannidae	Attila	Attila bolivianus
Attila cinnamomeus	Passeriformes	Tyrannidae	Attila	Attila cinnamomeus
Attila citriniventris	Passeriformes	Tyrannidae	Attila	Attila citriniventris
Attila phoenicurus	Passeriformes	Tyrannidae	Attila	Attila phoenicurus
Attila rufus	Passeriformes	Tyrannidae	Attila	Attila rufus
Attila spadiceus	Passeriformes	Tyrannidae	Attila	Attila spadiceus
Attila torridus	Passeriformes	Tyrannidae	Attila	Attila torridus
Augastes lumachella	Caprimulgiformes	Trochilidae	Augastes	Augastes lumachella
Augastes scutatus	Caprimulgiformes	Trochilidae	Augastes	Augastes scutatus
Aulacorhynchus albivitta	Piciformes	Ramphastidae	Aulacorhynchus	Aulacorhynchus albivitta
Aulacorhynchus coeruleicinctis	Piciformes	Ramphastidae	Aulacorhynchus	Aulacorhynchus coeruleicinctis
Aulacorhynchus derbianus	Piciformes	Ramphastidae	Aulacorhynchus	Aulacorhynchus derbianus
Aulacorhynchus haematopygus	Piciformes	Ramphastidae	Aulacorhynchus	Aulacorhynchus haematopygus
Aulacorhynchus huallagae	Piciformes	Ramphastidae	Aulacorhynchus	Aulacorhynchus huallagae
Aulacorhynchus prasinus	Piciformes	Ramphastidae	Aulacorhynchus	Aulacorhynchus prasinus
Aulacorhynchus sulcatus	Piciformes	Ramphastidae	Aulacorhynchus	Aulacorhynchus sulcatus
Aulacorhynchus whitelianus	Piciformes	Ramphastidae	Aulacorhynchus	Aulacorhynchus whitelianus
Auriparus flaviceps	Passeriformes	Remizidae	Auriparus	Auriparus flaviceps
Automolus cervinigularis	Passeriformes	Furnariidae	Automolus	Automolus cervinigularis
Automolus exsertus	Passeriformes	Furnariidae	Automolus	Automolus exsertus
Automolus infuscatus	Passeriformes	Furnariidae	Automolus	Automolus infuscatus
Automolus lammi	Passeriformes	Furnariidae	Automolus	Automolus lammi
Automolus leucophthalmus	Passeriformes	Furnariidae	Automolus	Automolus leucophthalmus
Automolus melanopezus	Passeriformes	Furnariidae	Automolus	Automolus melanopezus
Automolus ochrolaemus	Passeriformes	Furnariidae	Automolus	Automolus ochrolaemus
Automolus paraensis	Passeriformes	Furnariidae	Automolus	Automolus paraensis
Automolus rufipileatus	Passeriformes	Furnariidae	Automolus	Automolus rufipileatus
Automolus subulatus	Passeriformes	Furnariidae	Automolus	Automolus subulatus
Automolus virgatus	Passeriformes	Furnariidae	Automolus	Automolus virgatus
Aviceda cuculoides	Accipitriformes	Accipitridae	Aviceda	Aviceda cuculoides
Aviceda jerdoni	Accipitriformes	Accipitridae	Aviceda	Aviceda jerdoni
Aviceda leuphotes	Accipitriformes	Accipitridae	Aviceda	Aviceda leuphotes
Aviceda madagascariensis	Accipitriformes	Accipitridae	Aviceda	Aviceda madagascariensis
Aviceda subcristata	Accipitriformes	Accipitridae	Aviceda	Aviceda subcristata
Avocettula recurvirostris	Caprimulgiformes	Trochilidae	Avocettula	Avocettula recurvirostris
Aythya affinis	Anseriformes	Anatidae	Aythya	Aythya affinis
Aythya americana	Anseriformes	Anatidae	Aythya	Aythya americana
Aythya australis	Anseriformes	Anatidae	Aythya	Aythya australis
Aythya baeri	Anseriformes	Anatidae	Aythya	Aythya baeri
Aythya collaris	Anseriformes	Anatidae	Aythya	Aythya collaris
Aythya ferina	Anseriformes	Anatidae	Aythya	Aythya ferina
Aythya fuligula	Anseriformes	Anatidae	Aythya	Aythya fuligula
Aythya innotata	Anseriformes	Anatidae	Aythya	Aythya innotata
Aythya marila	Anseriformes	Anatidae	Aythya	Aythya marila
Aythya novaeseelandiae	Anseriformes	Anatidae	Aythya	Aythya novaeseelandiae
Aythya nyroca	Anseriformes	Anatidae	Aythya	Aythya nyroca
Aythya valisineria	Anseriformes	Anatidae	Aythya	Aythya valisineria
Baeolophus atricristatus	Passeriformes	Paridae	Baeolophus	Baeolophus atricristatus
Baeolophus bicolor	Passeriformes	Paridae	Baeolophus	Baeolophus bicolor
Baeolophus inornatus	Passeriformes	Paridae	Baeolophus	Baeolophus inornatus
Baeolophus ridgwayi	Passeriformes	Paridae	Baeolophus	Baeolophus ridgwayi
Baeolophus wollweberi	Passeriformes	Paridae	Baeolophus	Baeolophus wollweberi
Baeopogon clamans	Passeriformes	Pycnonotidae	Baeopogon	Baeopogon clamans
Baeopogon indicator	Passeriformes	Pycnonotidae	Baeopogon	Baeopogon indicator
Balaeniceps rex	Pelecaniformes	Balaenicipitidae	Balaeniceps	Balaeniceps rex
Balearica pavonina	Gruiformes	Gruidae	Balearica	Balearica pavonina
Balearica regulorum	Gruiformes	Gruidae	Balearica	Balearica regulorum
Bambusicola fytchii	Galliformes	Phasianidae	Bambusicola	Bambusicola fytchii
Bambusicola sonorivox	Galliformes	Phasianidae	Bambusicola	Bambusicola sonorivox
Bambusicola thoracicus	Galliformes	Phasianidae	Bambusicola	Bambusicola thoracicus
Bangsia arcaei	Passeriformes	Thraupidae	Bangsia	Bangsia arcaei
Bangsia aureocincta	Passeriformes	Thraupidae	Bangsia	Bangsia aureocincta
Bangsia edwardsi	Passeriformes	Thraupidae	Bangsia	Bangsia edwardsi
Bangsia flavovirens	Passeriformes	Thraupidae	Bangsia	Bangsia flavovirens
Bangsia melanochlamys	Passeriformes	Thraupidae	Bangsia	Bangsia melanochlamys
Bangsia rothschildi	Passeriformes	Thraupidae	Bangsia	Bangsia rothschildi
Barnardius zonarius	Psittaciformes	Psittaculidae	Barnardius	Barnardius zonarius
Bartramia longicauda	Charadriiformes	Scolopacidae	Bartramia	Bartramia longicauda
Baryphthengus martii	Coraciiformes	Momotidae	Baryphthengus	Baryphthengus martii
Baryphthengus ruficapillus	Coraciiformes	Momotidae	Baryphthengus	Baryphthengus ruficapillus
Basileuterus belli	Passeriformes	Parulidae	Basileuterus	Basileuterus belli
Basileuterus culicivorus	Passeriformes	Parulidae	Basileuterus	Basileuterus culicivorus
Basileuterus delattrii	Passeriformes	Parulidae	Basileuterus	Basileuterus delattrii
Basileuterus ignotus	Passeriformes	Parulidae	Basileuterus	Basileuterus ignotus
Basileuterus lachrymosus	Passeriformes	Parulidae	Basileuterus	Basileuterus lachrymosus
Basileuterus melanogenys	Passeriformes	Parulidae	Basileuterus	Basileuterus melanogenys
Basileuterus melanotis	Passeriformes	Parulidae	Basileuterus	Basileuterus melanotis
Basileuterus punctipectus	Passeriformes	Parulidae	Basileuterus	Basileuterus punctipectus
Basileuterus rufifrons	Passeriformes	Parulidae	Basileuterus	Basileuterus rufifrons
Basileuterus tacarcunae	Passeriformes	Parulidae	Basileuterus	Basileuterus tacarcunae
Basileuterus trifasciatus	Passeriformes	Parulidae	Basileuterus	Basileuterus trifasciatus
Basileuterus tristriatus	Passeriformes	Parulidae	Basileuterus	Basileuterus tristriatus
Basilinna leucotis	Caprimulgiformes	Trochilidae	Basilinna	Basilinna leucotis
Basilinna xantusii	Caprimulgiformes	Trochilidae	Basilinna	Basilinna xantusii
Basilornis celebensis	Passeriformes	Sturnidae	Basilornis	Basilornis celebensis
Basilornis corythaix	Passeriformes	Sturnidae	Basilornis	Basilornis corythaix
Basilornis galeatus	Passeriformes	Sturnidae	Basilornis	Basilornis galeatus
Batara cinerea	Passeriformes	Thamnophilidae	Batara	Batara cinerea
Bathilda ruficauda	Passeriformes	Estrildidae	Bathilda	Bathilda ruficauda
Bathmocercus cerviniventris	Passeriformes	Cisticolidae	Bathmocercus	Bathmocercus cerviniventris
Bathmocercus rufus	Passeriformes	Cisticolidae	Bathmocercus	Bathmocercus rufus
Batis capensis	Passeriformes	Platysteiridae	Batis	Batis capensis
Batis crypta	Passeriformes	Platysteiridae	Batis	Batis crypta
Batis dimorpha	Passeriformes	Platysteiridae	Batis	Batis dimorpha
Batis diops	Passeriformes	Platysteiridae	Batis	Batis diops
Batis erlangeri	Passeriformes	Platysteiridae	Batis	Batis erlangeri
Batis fratrum	Passeriformes	Platysteiridae	Batis	Batis fratrum
Batis ituriensis	Passeriformes	Platysteiridae	Batis	Batis ituriensis
Batis margaritae	Passeriformes	Platysteiridae	Batis	Batis margaritae
Batis minima	Passeriformes	Platysteiridae	Batis	Batis minima
Batis minor	Passeriformes	Platysteiridae	Batis	Batis minor
Batis minulla	Passeriformes	Platysteiridae	Batis	Batis minulla
Batis mixta	Passeriformes	Platysteiridae	Batis	Batis mixta
Batis molitor	Passeriformes	Platysteiridae	Batis	Batis molitor
Batis occulta	Passeriformes	Platysteiridae	Batis	Batis occulta
Batis orientalis	Passeriformes	Platysteiridae	Batis	Batis orientalis
Batis perkeo	Passeriformes	Platysteiridae	Batis	Batis perkeo
Batis poensis	Passeriformes	Platysteiridae	Batis	Batis poensis
Batis pririt	Passeriformes	Platysteiridae	Batis	Batis pririt
Batis senegalensis	Passeriformes	Platysteiridae	Batis	Batis senegalensis
Batis soror	Passeriformes	Platysteiridae	Batis	Batis soror
Batrachostomus affinis	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus affinis
Batrachostomus auritus	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus auritus
Batrachostomus chaseni	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus chaseni
Batrachostomus cornutus	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus cornutus
Batrachostomus hodgsoni	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus hodgsoni
Batrachostomus javensis	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus javensis
Batrachostomus mixtus	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus mixtus
Batrachostomus moniliger	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus moniliger
Batrachostomus poliolophus	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus poliolophus
Batrachostomus septimus	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus septimus
Batrachostomus stellatus	Caprimulgiformes	Podargidae	Batrachostomus	Batrachostomus stellatus
Berenicornis comatus	Bucerotiformes	Bucerotidae	Berenicornis	Berenicornis comatus
Berlepschia rikeri	Passeriformes	Furnariidae	Berlepschia	Berlepschia rikeri
Bernieria madagascariensis	Passeriformes	Bernieridae	Bernieria	Bernieria madagascariensis
Bias musicus	Passeriformes	Vangidae	Bias	Bias musicus
Biatas nigropectus	Passeriformes	Thamnophilidae	Biatas	Biatas nigropectus
Biziura lobata	Anseriformes	Anatidae	Biziura	Biziura lobata
Bleda canicapillus	Passeriformes	Pycnonotidae	Bleda	Bleda canicapillus
Bleda eximius	Passeriformes	Pycnonotidae	Bleda	Bleda eximius
Bleda notatus	Passeriformes	Pycnonotidae	Bleda	Bleda notatus
Bleda syndactylus	Passeriformes	Pycnonotidae	Bleda	Bleda syndactylus
Blythipicus pyrrhotis	Piciformes	Picidae	Blythipicus	Blythipicus pyrrhotis
Blythipicus rubiginosus	Piciformes	Picidae	Blythipicus	Blythipicus rubiginosus
Bocagia minuta	Passeriformes	Malaconotidae	Bocagia	Bocagia minuta
Boissonneaua flavescens	Caprimulgiformes	Trochilidae	Boissonneaua	Boissonneaua flavescens
